Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Pridemalkin",3,"Creature - Cat",G,"m21","196",common,g,"Not Owned",Non-foil,false,,"","Gains","",81619,
"Rishkar, Peema Renegade",3,"Legendary Creature - Elf Druid",G,"aer","122",rare,g,"Not Owned",Non-foil,false,,"","Gains","",62795,
"Armorcraft Judge",4,"Creature - Elf Artificer",G,"kld","144",uncommon,g,"Not Owned",Non-foil,false,,"","Gains","",61725,
"Ridgescale Tusker",5,"Creature - Pangolin Beast",G,"aer","121",uncommon,g,"Not Owned",Non-foil,false,,"","Gains","",62787,
"Arbor Armament",1,"Instant",G,"jmp","376",common,g,"Not Owned",Non-foil,false,,"","Gains","",,
"Invigorating Surge",3,"Instant",G,"m21","190",uncommon,g,"Not Owned",Non-foil,false,,"","Gains","",81607,
"Hunter's Edge",4,"Sorcery",G,"m21","189",common,g,"Not Owned",Non-foil,false,,"","Gains","",81605,
"Branching Evolution",3,"Enchantment",G,"jmp","29",rare,g,"Not Owned",Non-foil,false,,"","Gains","",,
"Thriving Grove",0,"Land",G,"jmp","34",common,l,"Not Owned",Non-foil,false,,"","Gains","",,
"Brushstrider",2,"Creature - Beast",G,"rtr","117",uncommon,g,"Not Owned",Non-foil,false,,"","Garruk","",46275,
"Drowsing Tyrannodon",2,"Creature - Dinosaur",G,"m21","178",common,g,"Not Owned",Non-foil,false,,"","Garruk","",81583,
"Garruk's Companion",2,"Creature - Beast",G,"m11","176",common,g,"Not Owned",Non-foil,false,,"","Garruk","",37396,
"Garruk's Harbinger",3,"Creature - Beast",G,"m21","185",rare,g,"Not Owned",Non-foil,false,,"","Garruk","",81597,
"Primal Huntbeast",4,"Creature - Beast",G,"bbd","208",common,g,"Not Owned",Non-foil,false,,"","Garruk","",,
"Garruk's Gorehorn",5,"Creature - Beast",G,"m21","184",common,g,"Not Owned",Non-foil,false,,"","Garruk","",81595,
"Garruk's Packleader",5,"Creature - Beast",G,"m13","175",uncommon,g,"Not Owned",Non-foil,false,,"","Garruk","",45388,
"Garruk, Unleashed",4,"Legendary Planeswalker - Garruk",G,"m21","183",mythic,g,"Not Owned",Non-foil,false,,"","Garruk","",81593,
"Ranger's Guile",1,"Instant",G,"m15","193",common,g,"Not Owned",Non-foil,false,,"","Garruk","",53398,
"Broken Wings",3,"Instant",G,"znr","181",common,g,"Not Owned",Non-foil,false,,"","Garruk","",83347,
"Hunter's Insight",3,"Instant",G,"c20","178",uncommon,g,"Not Owned",Non-foil,false,,"","Garruk","",,
"Hunter's Edge",4,"Sorcery",G,"m21","189",common,g,"Not Owned",Non-foil,false,,"","Garruk","",81605,
"Thriving Grove",0,"Land",G,"jmp","34",common,l,"Not Owned",Non-foil,false,,"","Garruk","",,
"Anointed Chorister",1,"Creature - Human Cleric",W,"m21","4",common,w,"Not Owned",Non-foil,false,,"","Get a Life","",81235,
"Speaker of the Heavens",1,"Creature - Human Cleric",W,"m21","38",rare,w,"Not Owned",Non-foil,false,,"","Get a Life","",81303,
"Ajani's Pridemate",2,"Creature - Cat Soldier",W,"c13","3",uncommon,w,"Not Owned",Non-foil,false,,"","Get a Life","",51090,
"Alabaster Mage",2,"Creature - Human Wizard",W,"2xm","2",common,w,"Not Owned",Non-foil,false,,"","Get a Life","",82038,
"Impassioned Orator",2,"Creature - Human Cleric",W,"rna","12",common,w,"Not Owned",Non-foil,false,,"","Get a Life","",71024,
"Brightmare",3,"Creature - Unicorn",W,"jmp","2",uncommon,w,"Not Owned",Non-foil,false,,"","Get a Life","",,
"Rhox Faithmender",4,"Creature - Rhino Monk",W,"jmp","130",rare,w,"Not Owned",Non-foil,false,,"","Get a Life","",,
"Bulwark Giant",6,"Creature - Giant Soldier",W,"war","7",common,w,"Not Owned",Non-foil,false,,"","Get a Life","",71620,
"Griffin Aerie",2,"Enchantment",W,"m21","22",uncommon,w,"Not Owned",Non-foil,false,,"","Get a Life","",81271,
"Answered Prayers",3,"Enchantment",W,"mh1","2",common,w,"Not Owned",Non-foil,false,,"","Get a Life","",72376,
"Recumbent Bliss",3,"Enchantment - Aura",W,"ddh","26",common,w,"Not Owned",Non-foil,false,,"","Get a Life","",42068,
"Faith's Fetters",4,"Enchantment - Aura",W,"uma","16",common,w,"Not Owned",Non-foil,false,,"","Get a Life","",70105,
"Thriving Heath",0,"Land",W,"jmp","35",common,l,"Not Owned",Non-foil,false,,"","Get a Life","",,
"Fanatical Firebrand",1,"Creature - Goblin Pirate",R,"jmp","315",common,r,"Not Owned",Non-foil,false,,"","Goblins","",,
"Goblin Instigator",2,"Creature - Goblin Rogue",R,"m19","142",common,r,"Not Owned",Non-foil,false,,"","Goblins","",68445,
"Boggart Brute",3,"Creature - Goblin Warrior",R,"m19","131",common,r,"Not Owned",Non-foil,false,,"","Goblins","",68423,
"Goblin Chieftain",3,"Creature - Goblin",R,"m12","138",rare,r,"Not Owned",Non-foil,false,,"","Goblins","",41213,
"Krenko, Tin Street Kingpin",3,"Legendary Creature - Goblin",R,"war","137",rare,r,"Not Owned",Non-foil,false,,"","Goblins","",71880,
"Beetleback Chief",4,"Creature - Goblin Warrior",R,"pc2","40",uncommon,r,"Not Owned",Non-foil,false,,"","Goblins","",45056,
"Volley Veteran",4,"Creature - Goblin Warrior",R,"m19","168",uncommon,r,"Not Owned",Non-foil,false,,"","Goblins","",68497,
"Outnumber",1,"Instant",R,"jmp","354",common,r,"Not Owned",Non-foil,false,,"","Goblins","",,
"Burn Bright",3,"Instant",R,"rna","93",common,r,"Not Owned",Non-foil,false,,"","Goblins","",71186,
"Krenko's Command",2,"Sorcery",R,"ddn","25",common,r,"Not Owned",Non-foil,false,,"","Goblins","",,
"Goblin Rally",5,"Sorcery",R,"jmp","329",uncommon,r,"Not Owned",Non-foil,false,,"","Goblins","",,
"Goblin Oriflamme",2,"Enchantment",R,"mh1","130",uncommon,r,"Not Owned",Non-foil,false,,"","Goblins","",72632,
"Thriving Bluff",0,"Land",R,"jmp","33",common,l,"Not Owned",Non-foil,false,,"","Goblins","",,
"Isamaru, Hound of Konda",1,"Legendary Creature - Dog",W,"jmp","113",rare,w,"Not Owned",Non-foil,false,,"","Good Bois","",,
"Selfless Savior",1,"Creature - Dog",W,"m21","36",uncommon,w,"Not Owned",Non-foil,false,,"","Good Bois","",81299,
"Alpine Watchdog",2,"Creature - Dog",W,"m21","2",common,w,"Not Owned",Non-foil,false,,"","Good Bois","",81231,
"Pack Leader",2,"Creature - Dog",W,"m21","392",rare,w,"Not Owned",Non-foil,false,,"","Good Bois","",,
"Affa Guard Hound",3,"Creature - Dog",W,"jmp","81",uncommon,w,"Not Owned",Non-foil,false,,"","Good Bois","",,
"Trusty Retriever",4,"Creature - Dog",W,"jmp","8",common,w,"Not Owned",Non-foil,false,,"","Good Bois","",,
"Rambunctious Mutt",5,"Creature - Dog",W,"m21","30",common,w,"Not Owned",Non-foil,false,,"","Good Bois","",81287,
"Supply Runners",5,"Creature - Dog",W,"jmp","7",uncommon,w,"Not Owned",Non-foil,false,,"","Good Bois","",,
"Dauntless Onslaught",3,"Instant",W,"ddo","6",uncommon,w,"Not Owned",Non-foil,false,,"","Good Bois","",,
"Release the Dogs",4,"Sorcery",W,"jmp","4",uncommon,w,"Not Owned",Non-foil,false,,"","Good Bois","",,
"Secure the Scene",5,"Sorcery",W,"m21","35",common,w,"Not Owned",Non-foil,false,,"","Good Bois","",81297,
"Pacifism",2,"Enchantment - Aura",W,"ema","23",common,w,"Not Owned",Non-foil,false,,"","Good Bois","",60537,
"Thriving Heath",0,"Land",W,"jmp","35",common,l,"Not Owned",Non-foil,false,,"","Good Bois","",,
"Favored Hoplite",1,"Creature - Human Soldier",W,"ths","13",uncommon,w,"Not Owned",Non-foil,false,,"","Heroic","",50258,
"Akroan Skyguard",2,"Creature - Human Soldier",W,"bng","3",common,w,"Not Owned",Non-foil,false,,"","Heroic","",51571,
"Hero of Iroas",2,"Creature - Human Soldier",W,"uma","20",uncommon,w,"Not Owned",Non-foil,false,,"","Heroic","",70113,
"Phalanx Leader",2,"Creature - Human Soldier",W,"ths","26",uncommon,w,"Not Owned",Non-foil,false,,"","Heroic","",50350,
"Fabled Hero",3,"Creature - Human Soldier",W,"ths","12",rare,w,"Not Owned",Non-foil,false,,"","Heroic","",50430,
"Wingsteed Rider",3,"Creature - Human Knight",W,"uma","43",common,w,"Not Owned",Non-foil,false,,"","Heroic","",70159,
"Dawnbringer Charioteers",4,"Creature - Human Soldier",W,"jou","6",rare,w,"Not Owned",Non-foil,false,,"","Heroic","",52180,
"Gods Willing",1,"Instant",W,"uma","18",common,w,"Not Owned",Non-foil,false,,"","Heroic","",70109,
"Act of Heroism",2,"Instant",W,"hou","1",common,w,"Not Owned",Non-foil,false,,"","Heroic","",64486,
"Moment of Heroism",2,"Instant",W,"cns","74",common,w,"Not Owned",Non-foil,false,,"","Heroic","",,
"Dauntless Onslaught",3,"Instant",W,"ddo","6",uncommon,w,"Not Owned",Non-foil,false,,"","Heroic","",,
"Conviction",2,"Enchantment - Aura",W,"aer","12",common,w,"Not Owned",Non-foil,false,,"","Heroic","",62583,
"Thriving Heath",0,"Land",W,"jmp","35",common,l,"Not Owned",Non-foil,false,,"","Heroic","",,
"Phantasmal Bear",1,"Creature - Bear Illusion",U,"m12","70",common,u,"Not Owned",Non-foil,false,,"","Illusions","",41439,
"Krovikan Mist",2,"Creature - Illusion",U,"csp","38",common,u,"Not Owned",Non-foil,false,,"","Illusions","",24827,
"Lord of the Unreal",2,"Creature - Human Wizard",U,"m12","62",rare,u,"Not Owned",Non-foil,false,,"","Illusions","",41437,
"Vertigo Spawn",2,"Creature - Illusion",U,"cn2","125",uncommon,u,"Not Owned",Non-foil,false,,"","Illusions","",,
"Phantasmal Dragon",4,"Creature - Dragon Illusion",U,"ddm","14",uncommon,u,"Not Owned",Non-foil,false,,"","Illusions","",52409,
"Phantom Monster",4,"Creature - Illusion",U,"ema","65",common,u,"Not Owned",Non-foil,false,,"","Illusions","",60927,
"Illusory Ambusher",5,"Creature - Cat Illusion",U,"c20","113",uncommon,u,"Not Owned",Non-foil,false,,"","Illusions","",,
"Mesmerizing Benthid",5,"Creature - Octopus",U,"rna","43",mythic,u,"Not Owned",Non-foil,false,,"","Illusions","",71086,
"Lofty Denial",2,"Instant",U,"m21","56",common,u,"Not Owned",Non-foil,false,,"","Illusions","",81339,
"Phantasmal Form",3,"Instant",U,"mh1","61",common,u,"Not Owned",Non-foil,false,,"","Illusions","",72494,
"Illusory Wrappings",3,"Enchantment - Aura",U,"akh","58",common,u,"Not Owned",Non-foil,false,,"","Illusions","",63718,
"Illusionary Armor",5,"Enchantment - Aura",U,"m14","59",uncommon,u,"Not Owned",Non-foil,false,,"","Illusions","",49477,
"Thriving Isle",0,"Land",U,"jmp","36",common,l,"Not Owned",Non-foil,false,,"","Illusions","",,
"Omenspeaker",2,"Creature - Human Wizard",U,"cn2","118",common,u,"Not Owned",Non-foil,false,,"","Inscrutable","",,
"Sigiled Starfish",2,"Creature - Starfish",U,"c18","102",uncommon,u,"Not Owned",Non-foil,false,,"","Inscrutable","",,
"Rescuer Sphinx",4,"Creature - Sphinx",U,"war","65",uncommon,u,"Not Owned",Non-foil,false,,"","Inscrutable","",71736,
"Cloudreader Sphinx",5,"Creature - Sphinx",U,"jmp","143",common,u,"Not Owned",Non-foil,false,,"","Inscrutable","",,
"Serra Sphinx",5,"Creature - Sphinx",U,"2xm","68",uncommon,u,"Not Owned",Non-foil,false,,"","Inscrutable","",82170,
"Horizon Scholar",6,"Creature - Sphinx",U,"m19","59",uncommon,u,"Not Owned",Non-foil,false,,"","Inscrutable","",68279,
"Unesh, Criosphinx Sovereign",6,"Legendary Creature - Sphinx",U,"hou","52",mythic,u,"Not Owned",Non-foil,false,,"","Inscrutable","",64588,
"Sphinx of Uthuun",7,"Creature - Sphinx",U,"c18","104",rare,u,"Not Owned",Non-foil,false,,"","Inscrutable","",,
"Lofty Denial",2,"Instant",U,"m21","56",common,u,"Not Owned",Non-foil,false,,"","Inscrutable","",81339,
"Voyage's End",2,"Instant",U,"ths","73",common,u,"Not Owned",Non-foil,false,,"","Inscrutable","",50160,
"Preordain",1,"Sorcery",U,"c15","101",common,u,"Not Owned",Non-foil,false,,"","Inscrutable","",,
"Riddleform",2,"Enchantment",U,"hou","43",uncommon,u,"Not Owned",Non-foil,false,,"","Inscrutable","",64570,
"Thriving Isle",0,"Land",U,"jmp","36",common,l,"Not Owned",Non-foil,false,,"","Inscrutable","",,
"Jace's Phantasm",1,"Creature - Illusion",U,"m13","57",uncommon,u,"Not Owned",Non-foil,false,,"","Jace","",45542,
"Towering-Wave Mystic",2,"Creature - Merfolk Wizard",U,"jmp","186",common,u,"Not Owned",Non-foil,false,,"","Jace","",,
"Wall of Lost Thoughts",2,"Creature - Wall",U,"rna","59",uncommon,u,"Not Owned",Non-foil,false,,"","Jace","",71118,
"Relic Golem",3,"Artifact Creature - Golem",,"znr","249",uncommon,c,"Not Owned",Non-foil,false,,"","Jace","",83493,
"Jace's Projection",4,"Creature - Wizard Illusion",U,"war","272",uncommon,u,"Not Owned",Non-foil,false,,"","Jace","",72186,
"Mindeye Drake",5,"Creature - Drake",U,"gtc","43",uncommon,u,"Not Owned",Non-foil,false,,"","Jace","",47667,
"Sphinx Mindbreaker",7,"Creature - Sphinx",U,"thb","290",rare,u,"Not Owned",Non-foil,false,,"","Jace","",79995,
"Jace, Architect of Thought",4,"Legendary Planeswalker - Jace",U,"c20","114",mythic,u,"Not Owned",Non-foil,false,,"","Jace","",,
"Anticognition",2,"Instant",U,"znr","45",common,u,"Not Owned",Non-foil,false,,"","Jace","",83037,
"Winds of Rebuke",2,"Instant",U,"akh","76",common,u,"Not Owned",Non-foil,false,,"","Jace","",63754,
"Thought Collapse",3,"Instant",U,"jmp","184",common,u,"Not Owned",Non-foil,false,,"","Jace","",,
"Sphinx's Tutelage",3,"Enchantment",U,"ori","76",uncommon,u,"Not Owned",Non-foil,false,,"","Jace","",57908,
"Thriving Isle",0,"Land",U,"jmp","36",common,l,"Not Owned",Non-foil,false,,"","Jace","",,
"Merfolk Windrobber",1,"Creature - Merfolk Rogue",U,"znr","70",uncommon,u,"Not Owned",Non-foil,false,,"","Knavish","",83093,
"Zulaport Duelist",1,"Creature - Human Rogue",U,"znr","88",common,u,"Not Owned",Non-foil,false,,"","Knavish","",83135,
"Faerie Duelist",2,"Creature - Faerie Rogue",U,"rna","39",common,u,"Not Owned",Non-foil,false,,"","Knavish","",71078,
"Library Larcenist",3,"Creature - Merfolk Rogue",U,"m21","55",common,u,"Not Owned",Non-foil,false,,"","Knavish","",81337,
"Latchkey Faerie",4,"Creature - Faerie Rogue",U,"plist","63",common,u,"Not Owned",Non-foil,false,,"","Knavish","",,
"Sure-Footed Infiltrator",4,"Creature - Merfolk Rogue",U,"znr","83",uncommon,u,"Not Owned",Non-foil,false,,"","Knavish","",83123,
"Deepchannel Mentor",6,"Creature - Merfolk Rogue",U,"shm","35",uncommon,u,"Not Owned",Non-foil,false,,"","Knavish","",29335,
"Enigma Thief",7,"Creature - Sphinx Rogue",U,"znc","4",rare,u,"Not Owned",Non-foil,false,,"","Knavish","",,
"Unsummon",1,"Instant",U,"hou","54",common,u,"Not Owned",Non-foil,false,,"","Knavish","",64592,
"Anticognition",2,"Instant",U,"znr","45",common,u,"Not Owned",Non-foil,false,,"","Knavish","",83037,
"Thieves' Fortune",3,"Tribal Instant - Rogue",U,"mor","54",uncommon,u,"Not Owned",Non-foil,false,,"","Knavish","",29090,
"Notorious Throng",4,"Tribal Sorcery - Rogue",U,"mor","45",rare,u,"Not Owned",Non-foil,false,,"","Knavish","",29014,
"Rogue's Passage",0,"Land",,"c19","270",uncommon,l,"Not Owned",Non-foil,false,,"","Knavish","",77662,
"Thriving Isle",0,"Land",U,"jmp","36",common,l,"Not Owned",Non-foil,false,,"","Knavish","",,
"Venerable Knight",1,"Creature - Human Knight",W,"eld","35",uncommon,w,"Not Owned",Non-foil,false,,"","Knights","",78170,
"Benalish Honor Guard",2,"Creature - Human Knight",W,"dom","5",common,w,"Not Owned",Non-foil,false,,"","Knights","",67475,
"Jousting Dummy",2,"Artifact Creature - Scarecrow Knight",,"jmp","470",common,c,"Not Owned",Non-foil,false,,"","Knights","",,
"Danitha Capashen, Paragon",3,"Legendary Creature - Human Knight",W,"dom","12",uncommon,w,"Not Owned",Non-foil,false,,"","Knights","",67489,
"Gallant Cavalry",4,"Creature - Human Knight",W,"m19","12",common,w,"Not Owned",Non-foil,false,,"","Knights","",68185,
"Valiant Knight",4,"Creature - Human Knight",W,"m19","42",rare,w,"Not Owned",Non-foil,false,,"","Knights","",68245,
"Syr Alin, the Lion's Claw",5,"Legendary Creature - Human Knight",W,"eld","32",uncommon,w,"Not Owned",Non-foil,false,,"","Knights","",78164,
"Righteousness",1,"Instant",W,"m10","27",uncommon,w,"Not Owned",Non-foil,false,,"","Knights","",32657,
"True Love's Kiss",4,"Instant",W,"eld","34",common,w,"Not Owned",Non-foil,false,,"","Knights","",78168,
"The Circle of Loyalty",6,"Legendary Artifact",W,"eld","9",mythic,w,"Not Owned",Non-foil,false,,"","Knights","",78106,
"Dub",3,"Enchantment - Aura",W,"m21","16",common,w,"Not Owned",Non-foil,false,,"","Knights","",81259,
"Knightly Valor",5,"Enchantment - Aura",W,"rtr","13",common,w,"Not Owned",Non-foil,false,,"","Knights","",46569,
"Thriving Heath",0,"Land",W,"jmp","35",common,l,"Not Owned",Non-foil,false,,"","Knights","",,
"Sylvan Ranger",2,"Creature - Elf Scout",G,"c14","216",common,g,"Not Owned",Non-foil,false,,"","Landfall","",54669,
"Vinelasher Kudzu",2,"Creature - Plant",G,"rav","189",rare,g,"Not Owned",Non-foil,false,,"","Landfall","",22996,
"Fertilid",3,"Creature - Elemental",G,"iko","152",common,g,"Not Owned",Non-foil,false,,"","Landfall","",80313,
"Territorial Scythecat",3,"Creature - Cat",G,"znr","213",common,g,"Not Owned",Non-foil,false,,"","Landfall","",83417,
"Turntimber Basilisk",3,"Creature - Basilisk",G,"e01","76",uncommon,g,"Not Owned",Non-foil,false,,"","Landfall","",,
"Canopy Baloth",4,"Creature - Beast",G,"znr","182",common,g,"Not Owned",Non-foil,false,,"","Landfall","",83349,
"Kazandu Stomper",6,"Creature - Beast",G,"znr","191",common,g,"Not Owned",Non-foil,false,,"","Landfall","",83369,
"Avenger of Zendikar",7,"Creature - Elemental",G,"c18","129",mythic,g,"Not Owned",Non-foil,false,,"","Landfall","",,
"Scale the Heights",3,"Sorcery",G,"znr","202",common,g,"Not Owned",Non-foil,false,,"","Landfall","",83393,
"Khalni Heart Expedition",2,"Enchantment",G,"c18","154",common,g,"Not Owned",Non-foil,false,,"","Landfall","",,
"Retreat to Kazandu",3,"Enchantment",G,"ddp","21",uncommon,g,"Not Owned",Non-foil,false,,"","Landfall","",,
"Zendikar's Roil",5,"Enchantment",G,"jmp","448",uncommon,g,"Not Owned",Non-foil,false,,"","Landfall","",,
"Evolving Wilds",0,"Land",,"ddo","58",common,l,"Not Owned",Non-foil,false,,"","Landfall","",,
"Thriving Grove",0,"Land",G,"jmp","34",common,l,"Not Owned",Non-foil,false,,"","Landfall","",,
"Typhoid Rats",1,"Creature - Rat",B,"cns","130",common,b,"Not Owned",Non-foil,false,,"","Lethality","",,
"Fetid Imp",2,"Creature - Imp",B,"m21","98",common,b,"Not Owned",Non-foil,false,,"","Lethality","",81423,
"Onyx Mage",2,"Creature - Human Wizard",B,"m12","103",uncommon,b,"Not Owned",Non-foil,false,,"","Lethality","",41353,
"Graveblade Marauder",3,"Creature - Human Warrior",B,"ori","101",rare,b,"Not Owned",Non-foil,false,,"","Lethality","",57974,
"Hooded Blightfang",3,"Creature - Snake",B,"m21","104",rare,b,"Not Owned",Non-foil,false,,"","Lethality","",81435,
"Xathrid Slyblade",3,"Creature - Human Assassin",B,"m15","124",uncommon,b,"Not Owned",Non-foil,false,,"","Lethality","",53558,
"Deathgaze Cockatrice",4,"Creature - Cockatrice",B,"m14","94",common,b,"Not Owned",Non-foil,false,,"","Lethality","",49543,
"Ukud Cobra",4,"Creature - Snake",B,"dtk","123",uncommon,b,"Not Owned",Non-foil,false,,"","Lethality","",56310,
"Supernatural Stamina",1,"Instant",B,"akh","111",common,b,"Not Owned",Non-foil,false,,"","Lethality","",63824,
"Bladebrand",2,"Instant",B,"m20","86",common,b,"Not Owned",Non-foil,false,,"","Lethality","",73071,
"Vial of Poison",1,"Artifact",,"m14","226",uncommon,c,"Not Owned",Non-foil,false,,"","Lethality","",49545,
"Minion's Return",3,"Enchantment - Aura",B,"thb","104",uncommon,b,"Not Owned",Non-foil,false,,"","Lethality","",79332,
"Thriving Moor",0,"Land",B,"jmp","37",common,l,"Not Owned",Non-foil,false,,"","Lethality","",,
"Lightning Serpent",1,"Creature - Elemental Serpent",R,"csp","88",rare,r,"Not Owned",Non-foil,false,,"","Lightning","",24681,
"Spark Elemental",1,"Creature - Elemental",R,"10e","237",uncommon,r,"Not Owned",Non-foil,false,,"","Lightning","",27643,
"Lightning Visionary",2,"Creature - Minotaur Shaman",R,"jmp","22",common,r,"Not Owned",Non-foil,false,,"","Lightning","",,
"Bolt Hound",3,"Creature - Elemental Dog",R,"m21","131",uncommon,r,"Not Owned",Non-foil,false,,"","Lightning","",81489,
"Lightning Phoenix",3,"Creature - Phoenix",R,"jmp","21",rare,r,"Not Owned",Non-foil,false,,"","Lightning","",,
"Storm Caller",3,"Creature - Ogre Shaman",R,"m21","335",common,r,"Not Owned",Non-foil,false,,"","Lightning","",81189,
"Weaver of Lightning",3,"Creature - Human Shaman",R,"jmp","371",uncommon,r,"Not Owned",Non-foil,false,,"","Lightning","",,
"Living Lightning",4,"Creature - Elemental Shaman",R,"jmp","23",uncommon,r,"Not Owned",Non-foil,false,,"","Lightning","",,
"Lightning Bolt",1,"Instant",R,"mm2","122",uncommon,r,"Not Owned",Non-foil,false,,"","Lightning","",57140,
"Lightning Strike",2,"Instant",R,"m19","152",uncommon,r,"Not Owned",Non-foil,false,,"","Lightning","",68465,
"Homing Lightning",4,"Instant",R,"jmp","335",uncommon,r,"Not Owned",Non-foil,false,,"","Lightning","",,
"Lightning Talons",3,"Enchantment - Aura",R,"bbd","180",common,r,"Not Owned",Non-foil,false,,"","Lightning","",,
"Thriving Bluff",0,"Land",R,"jmp","33",common,l,"Not Owned",Non-foil,false,,"","Lightning","",,
"Liliana's Steward",1,"Creature - Zombie",B,"m21","111",common,b,"Not Owned",Non-foil,false,,"","Liliana","",81449,
"Undead Augur",2,"Creature - Zombie Wizard",B,"mh1","112",uncommon,b,"Not Owned",Non-foil,false,,"","Liliana","",72596,
"Wailing Ghoul",2,"Creature - Zombie",B,"jmp","286",common,b,"Not Owned",Non-foil,false,,"","Liliana","",,
"Liliana's Devotee",3,"Creature - Human Warlock",B,"m21","109",uncommon,b,"Not Owned",Non-foil,false,,"","Liliana","",81445,
"Liliana's Elite",3,"Creature - Zombie",B,"jmp","250",uncommon,b,"Not Owned",Non-foil,false,,"","Liliana","",,
"Rank Officer",4,"Creature - Zombie Soldier",B,"mh1","102",common,b,"Not Owned",Non-foil,false,,"","Liliana","",72576,
"Ghoulsteed",5,"Creature - Zombie Horse",B,"uma","97",uncommon,b,"Not Owned",Non-foil,false,,"","Liliana","",70267,
"Liliana, Untouched by Death",4,"Legendary Planeswalker - Liliana",B,"m19","106",mythic,b,"Not Owned",Non-foil,false,,"","Liliana","",68373,
"Corpse Churn",2,"Instant",B,"iko","81",common,b,"Not Owned",Non-foil,false,,"","Liliana","",80171,
"Cemetery Recruitment",2,"Sorcery",B,"emn","83",common,b,"Not Owned",Non-foil,false,,"","Liliana","",61170,
"Settle the Score",4,"Sorcery",B,"dom","103",uncommon,b,"Not Owned",Non-foil,false,,"","Liliana","",67671,
"Liliana's Mastery",5,"Enchantment",B,"gnt","32",rare,b,"Not Owned",Non-foil,false,,"","Liliana","",,
"Thriving Moor",0,"Land",B,"jmp","37",common,l,"Not Owned",Non-foil,false,,"","Liliana","",,
"Bloodrage Brawler",2,"Creature - Minotaur Warrior",R,"jmp","296",uncommon,r,"Not Owned",Non-foil,false,,"","Minotaurs","",,
"Lightning Visionary",2,"Creature - Minotaur Shaman",R,"jmp","22",common,r,"Not Owned",Non-foil,false,,"","Minotaurs","",,
"Minotaur Skullcleaver",3,"Creature - Minotaur Berserker",R,"ths","130",common,r,"Not Owned",Non-foil,false,,"","Minotaurs","",50182,
"Minotaur Sureshot",3,"Creature - Minotaur Archer",R,"akh","143",common,r,"Not Owned",Non-foil,false,,"","Minotaurs","",63888,
"Rageblood Shaman",3,"Creature - Minotaur Shaman",R,"jmp","357",rare,r,"Not Owned",Non-foil,false,,"","Minotaurs","",,
"Smelt-Ward Minotaur",3,"Creature - Minotaur Warrior",R,"grn","116",uncommon,r,"Not Owned",Non-foil,false,,"","Minotaurs","",69605,
"Warfire Javelineer",4,"Creature - Minotaur Warrior",R,"akh","155",uncommon,r,"Not Owned",Non-foil,false,,"","Minotaurs","",63912,
"Infuriate",1,"Instant",R,"m20","145",common,r,"Not Owned",Non-foil,false,,"","Minotaurs","",73189,
"Soul Sear",3,"Instant",R,"m21","160",uncommon,r,"Not Owned",Non-foil,false,,"","Minotaurs","",81547,
"Mugging",1,"Sorcery",R,"gtc","102",common,r,"Not Owned",Non-foil,false,,"","Minotaurs","",47517,
"Flurry of Horns",5,"Sorcery",R,"jou","96",common,r,"Not Owned",Non-foil,false,,"","Minotaurs","",52002,
"Sethron, Hurloon General",5,"Legendary Creature - Minotaur Warrior",BR,"jmp","25",rare,m,"Not Owned",Non-foil,false,,"","Minotaurs","",,
"Thriving Bluff",0,"Land",R,"jmp","33",common,l,"Not Owned",Non-foil,false,,"","Minotaurs","",,
"Drana, Liberator of Malakir",3,"Legendary Creature - Vampire Ally",B,"jmp","225",mythic,b,"Not Owned",Non-foil,false,,"","Necrogrowth","",,
"Hagra Constrictor",3,"Creature - Snake",B,"znr","105",common,b,"Not Owned",Non-foil,false,,"","Necrogrowth","",83173,
"Hooded Assassin",3,"Creature - Human Assassin",B,"frf","73",common,b,"Not Owned",Non-foil,false,,"","Necrogrowth","",55426,
"Kheru Bloodsucker",3,"Creature - Vampire",B,"ktk","75",uncommon,b,"Not Owned",Non-foil,false,,"","Necrogrowth","",54332,
"Lawless Broker",3,"Creature - Aetherborn Rogue",B,"kld","86",common,b,"Not Owned",Non-foil,false,,"","Necrogrowth","",61663,
"Bloodtracker",4,"Creature - Vampire Wizard",B,"c18","14",rare,b,"Not Owned",Non-foil,false,,"","Necrogrowth","",,
"Foundry Hornet",4,"Creature - Insect",B,"aer","59",uncommon,b,"Not Owned",Non-foil,false,,"","Necrogrowth","",62683,
"Scavenger Drake",4,"Creature - Drake",B,"ala","85",uncommon,b,"Not Owned",Non-foil,false,,"","Necrogrowth","",31059,
"Skyclave Shadowcat",4,"Creature - Cat Horror",B,"znr","126",uncommon,b,"Not Owned",Non-foil,false,,"","Necrogrowth","",83221,
"Subtle Strike",2,"Instant",B,"znr","128",common,b,"Not Owned",Non-foil,false,,"","Necrogrowth","",83225,
"Murder",3,"Instant",B,"emn","97",uncommon,b,"Not Owned",Non-foil,false,,"","Necrogrowth","",61388,
"Ancestral Vengeance",2,"Enchantment - Aura",B,"frf","61",common,b,"Not Owned",Non-foil,false,,"","Necrogrowth","",55508,
"Unholy Indenture",3,"Enchantment - Aura",B,"m20","119",common,b,"Not Owned",Non-foil,false,,"","Necrogrowth","",73137,
"Thriving Moor",0,"Land",B,"jmp","37",common,l,"Not Owned",Non-foil,false,,"","Necrogrowth","",,
